Fehezanteny,Sokajinteny
"""Ary hoy Rahely tamin'i Lea: Veloma ianao, mba anomezo ahy kely ny dodaiman'ny zanakao.""",Mpampitohy Mpamaritra Mpampiankina Mpanoritra Anarana Matoanteny Mpisolo Tambinteny Matoanteny Mpisolo Mpamaritra Mpanoritra Anarana Mpanoritra Anarana
"""Ary hoy izy taminy: Moa zavatra kely va ny nakanao ny vadiko?""",Mpampitohy Mpisolo Mpampiankina Kianteny Anarana Mpamaritra Kianteny Mpanoritra Matoanteny Mpanoritra Anarana 
"""Dia halainao koa va ny dodaiman'ny zanako?""",Mpampitohy Matoanteny Kianteny Mpanoritra Anarana Mpanoritra Anarana
"""Ary hoy Rahely: Aoka handry aminao ihany ary izy anio alina noho ny dodaiman'ny zanakao.""",Mpampitohy Mpamaritra Anarana Tenim-piotanana Matoanteny Mpampiankina Tambinteny Mpampitohy Mpisolo Tambinteny Anarana Mpampitohy Mpanoritra Anarana Mpanoritra Anarana
"""Ary nony hariva, rehefa tonga avy tany an-tsaha Jakoba, dia nivoaka nitsena azy Lea ka nanao hoe: Ho ato amiko no halehanao; fa ny dodaiman'ny zanako no efa nakaramako anao tokoa.""",Mpampitohy Mpampitohy Anarana Tambinteny Matoanteny Kianteny Tambinteny Tambinteny Anarana Anarana Kianteny Matoanteny Matoanteny Mpisolo Anarana Kianteny Matoanteny Tambinteny Kianteny Tambinteny Mpampiankina Kianteny Matoanteny Tambinteny Mpanoritra Anarana Mpanoritra Anarana Kianteny Tambinteny Matoanteny Mpisolo Tambinteny
"""Dia nandry taminy izy tamin'iny alina iny.""",Mpampitohy Matoanteny Mpampiankina Mpisolo Mpampiankina Mpisolo Anarana Mpisolo
"""Ary Andriamanitra nihaino an'i Lea, dia nanan'anaka izy ka niteraka zazalahy fahadiminy tamin'i Jakoba.""",Mpampitohy Anarana Matoanteny Tambinteny Mpanoritra Anarana Kianteny Matoanteny Anarana Mpisolo Kianteny Matoanteny Anarana Mpamaritra Mpampiankina Mpanoritra Anarana
"""Ary hoy Lea: Efa nomen'Andriamanitra ny karamako, satria nomeko hovadin'ny vadiko ny ankizivaviko; dia nataony hoe Isakara ny anarany.""",Mpampitohy Mpamaritra Anarana Tambinteny Matoanteny Anarana Mpanoritra Anarana Mpampitohy Matoanteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana Kianteny Matoanteny Tambinteny Anarana Mpanoritra Anarana
"""Dia nanan'anaka indray Lea ka niteraka zazalahy faheniny tamin'i Jakoba.""",Mpampitohy Matoanteny Anarana Tambinteny Anarana Kianteny Matoanteny Anarana Mpamaritra Mpampiankina Mpanoritra Anarana
"""Ary hoy Lea: Efa nanome anjara soa ho ahy Andriamanitra; amin'izao vao hitoetra amiko ny vadiko, fa efa niteraka zaza enin-dahy ho azy aho; dia nataony hoe Zebolona ny anarany.""",Mpampitohy Mpamaritra Anarana Tambinteny Matoanteny Anarana Mpamaritra Kianteny Mpisolo Anarana Mpampiankina Mpisolo Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Tambinteny Matoanteny Anarana Mpamaritra Anarana Kianteny Mpisolo Mpisolo Kianteny Matoanteny Tambinteny Anarana Mpanoritra Anarana
"""Ary rehefa afaka izany, dia niteraka zazavavy izy, ka nataony hoe Dina ny anarany.""",Mpampitohy Tambinteny Matoanteny Mpisolo Kianteny Matoanteny Anarana Mpisolo Kianteny Matoanteny Tambinteny Anarana Mpanoritra Anarana
"""Ary Andriamanitra nahatsiaro an-dRahely, dia nihaino azy ka nampanan'anaka azy.""",Mpampitohy Anarana Matoanteny Tambinteny Anarana Kianteny Kianteny Matoanteny Mpisolo Kianteny Matoanteny Anarana Mpisolo
"""Ary nanan'anaka izy ka niteraka zazalahy; dia hoy izy: Efa nahafa-tondromaso ahy Andriamanitra.""",Mpampitohy Matoanteny Anarana Mpisolo Kianteny Matoanteny Anarana Kianteny Mpamaritra Mpisolo Tambinteny Matoanteny Anarana Mpisolo Anarana
"""Dia nataony hoe Josefa ny anarany, ka hoy izy: Jehovah anie mbola hanampy zazalahy iray ho ahy koa.""",Mpampitohy Matoanteny Tambinteny Anarana Mpanoritra Anarana Kianteny Mpamaritra Mpisolo Anarana Kianteny Tambinteny Matoanteny Anarana Mpamaritra Kianteny Mpisolo Kianteny 
"""Ary rehefa niteraka an'i Josefa Rahely, dia hoy Jakoba tamin'i Labana: Alefaso aho hankany amin'ny fonenako sy ny taniko.""",Mpampitohy Tambinteny Matoanteny Tambinteny Mpanoritra Anarana Anarana Kianteny Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Matoanteny Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Omeo ahy ny vadiko aman-janako, izay nanompoako anao, dia handeha aho; fa fantatrao ny fanompoana izay nanompoako anao.""",Matoanteny Mpisolo Mpanoritra Anarana Mpampiankina Anarana Mpisolo Matoanteny Mpisolo Kianteny Matoanteny Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Mpisolo Matoanteny Mpisolo
"""Ary hoy Labana taminy: Masìna ianao, raha nahita fitia eo imasonao aho, mitoera eto amiko, efa namantatra aho, ka fantatro fa avy taminao no nitahian'i Jehovah ahy.""",Mpampitohy Mpamaritra Anarana Mpampiankina Matoanteny Mpisolo Mpampitohy Matoanteny Anarana Tambinteny Tambinteny Mpisolo Matoanteny Tambinteny Mpampiankina Tambinteny Mpampiankina Tambinteny Matoanteny Mpisolo Kianteny Matoanteny Tambinteny Kianteny Mpampiankina Kianteny Matoanteny Mpanoritra Anarana Mpisolo
"""Ary hoy koa izy: Tonony izay ho karamanao, dia homeko anao.""",Mpampitohy Mpamaritra Kianteny Mpisolo Matoanteny Mpisolo Kianteny Matoanteny Kianteny Matoanteny Mpisolo
"""Ary hoy Jakoba taminy; Fantatrao ny nanompoako anao sy ny toetry ny omby aman'ondrinao tato amiko.""",Mpampitohy Mpamaritra Anarana Mpampiankina Matoanteny Mpanoritra Matoanteny Mpisolo Mpampitohy Mpanoritra Mpamaritra Mpanoritra Anarana Mpampiankina Anarana Tambinteny Mpampiankina
"""Fa kely ny fanananao, fony tsy mbola tonga aho, fa efa nitombo be dia be izy; ary efa nitahy anao Jehovah tamin'ny diako rehetra; ary ankehitriny, rahoviana kosa aho no mba hihary ho an'ny ao an-tranoko?""",Tambinteny Mpamaritra Mpanoritra Anarana Mpampitohy Tambinteny Tambinteny Matoanteny Mpisolo Tambinteny Tambinteny Matoanteny Mpamaritra Kianteny Mpamaritra Mpisolo Mpampitohy Tambinteny Matoanteny Mpisolo Anarana Mpampiankina Mpanoritra Anarana Mpamaritra Mpampitohy Tambinteny Matoanteny Mpampitohy Mpisolo Kianteny Tambinteny Matoanteny Kianteny Tambinteny Mpanoritra Tambinteny Tambinteny Anarana
"""Ary hoy izy: Inona ary no homeko anao?""",Mpampitohy Mpamaritra Mpisolo Mpisolo Mpampitohy Kianteny Matoanteny Mpisolo
"""Ary hoy Jakoba: Tsy hanome ahy na inona na inona ianao; raha hataonao amiko izao zavatra izao, dia mbola handrasako sy hotandremako ihany ny ondry aman'osinao: Handeha hitety ny ondry aman'osinao rehetra aho anio ka hanavaka ny mara sy ny sada rehetra, ary ny mainty rehetra eo amin'ny ondry ary ny sada sy ny mara eo amin'ny osy; koa ireny no ho karamako.""",Mpampitohy Mpamaritra Anarana Tambinteny Matoanteny Mpisolo Kianteny Mpisolo Kianteny Mpisolo Mpisolo Mpampitohy Matoanteny Mpampiankina Mpisolo Anarana Mpisolo Kianteny Tambinteny Matoanteny Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpampiankina Anarana Matoanteny Matoanteny Mpanoritra Anarana Mpampiankina Anarana Mpamaritra Mpisolo Tambinteny Kianteny Matoanteny Mpanoritra Mpamaritra Mpampitohy Mpanoritra Mpamaritra Mpamaritra Mpampitohy Mpanoritra Mpamaritra Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Mpamaritra Mpampitohy Mpanoritra Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Mpisolo Kianteny Kianteny Anarana
"""Ny fahamarinako no ho vavolombeloko amin'ny andro ho avy, raha tonga ianao handinika ny karamako: izay rehetra tsy mara ary tsy sada eo amin'ny osy, ary izay tsy mainty eo amin'ny ondry, dia ho halatro izany.""",Mpanoritra Anarana Kianteny Kianteny Anarana Mpampiankina Mpanoritra Anarana Kianteny Kianteny Mpampitohy Matoanteny Mpisolo Matoanteny Mpanoritra Anarana Mpisolo Mpamaritra Tambinteny Mpamaritra Mpampitohy Tambinteny Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpisolo Tambinteny Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Kianteny Matoanteny Mpamaritra
"""Ary hoy Labana: Eny, aoka ho araka ny teninao ary.""",Mpampitohy Mpamaritra Anarana Tambinteny Tenim-piotanana Kianteny Mpampiankina Mpanoritra Anarana Mpampitohy
"""Dia navahany tamin'izany andro izany ny osilahy sadika sy sada, ary izay osivavy rehetra mara sy sada, dia izay rehetra nisy fotsy, ary ny mainty rehetra teo amin'ny ondry; dia natolony teo an-tanan'ny zananilahy ireny.""",Mpampitohy Matoanteny Mpampiankina Mpisolo Anarana Mpisolo Mpanoritra Anarana Mpamaritra Mpampitohy Mpamaritra Mpampitohy Mpisolo Anarana Mpamaritra Mpamaritra Mpampitohy Mpamaritra Kianteny Mpisolo Mpamaritra Matoanteny Mpamaritra Mpampitohy Mpamaritra Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Kianteny Matoanteny Tambinteny Tambinteny Anarana Mpanoritra Anarana Mpisolo
"""Ary nasiany lalankateloana teo anelanelan'izy sy Jakoba; ary Jakoba niandry ny ondry aman'osin'i Labana sisa.""",Mpampiankina Matoanteny Anarana Tambinteny Tambinteny Mpisolo Mpampitohy Anarana Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpampiankina Anarana Mpanoritra Anarana Mpamaritra
"""Ary Jakoba dia naka tsorakazo maro tamin'ny hazo popola maitso sy tamin'ny hazo lozy sy tamin'ny hazo platana; ka nataony ofy vandana ireny hisehoan'ny fotsy izay teo amin'ny tsorakazo.""",Mpampitohy Anarana Kianteny Matoanteny Mpamaritra Mpampiankina Mpanoritra Anarana Anarana Mpamaritra Mpampitohy Mpampiankina Mpanoritra Anarana Anarana Mpampitohy Mpampiankina Mpanoritra Anarana Anarana Kianteny Matoanteny Anarana Mpamaritra Mpisolo Matoanteny Mpanoritra Anarana Mpisolo Tambinteny Mpampiankina Mpanoritra Anarana 
"""Ary ireny tsorakazo voaofiny ireny dia napetrany teo anoloan'ny ondry aman'osy, teo anatin'ny tavin-drano, dia teo amin'ny fisotroan-drano, izay nalehan'ny ondry aman'osy hisotro, ka nikambana teo ny lahy sy ny vavy, raha avy hisotro rano izy.""",Mpampitohy Mpisolo Anarana Matoanteny Mpisolo Kianteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Mpampiankina Anarana Tambinteny Tambinteny Mpanoritra Anarana Anarana Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpampiankina Anarana Anarana Kianteny Matoanteny Tambinteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Kianteny Matoanteny Anarana Mpisolo
"""Dia nikambana tandrifin'ny tsorakazo ny ondry aman'osy ka niteraka sadika sy mara ary sada.""",Mpampitohy Matoanteny Tambinteny Mpanoritra Anarana Mpanoritra Anarana Mpampiankina Anarana Kianteny Matoanteny Anarana Mpampitohy Mpamaritra Mpampitohy Mpamaritra
"""Ary ny zanak'ondry navahan'i Jakoba, ary ny ondry sisa dia nataony manatrika ny sadika sy ny mainty rehetra teo amin'ny ondry aman'osin'i Labana; ary natokany izay ondry aman'osy ho azy ka tsy navelany hiharo tamin'ny ondry aman'osin'i Labana.""",Mpampitohy Mpanoritra Anarana Anarana Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpamaritra Kianteny Matoanteny Matoanteny Mpanoritra Mpamaritra Mpampitohy Mpanoritra Mpamaritra Mpamaritra Tambinteny Mpampiankina Mpanoritra Anarana Mpampiankina Anarana Kianteny Mpisolo Kianteny Tambinteny Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Mpampiankina Anarana Mpanoritra Anarana
"""Ary na oviana na oviana no hikambanan'ny ondry aman'osy matanjaka, dia napetrak'i Jakoba teo anatin'ny tavin-drano teo anoloan'ny mason'ny ondry aman'osy ireny tsorakazo ireny, mba hikambanany eo anilan'ny tsorakazo.""",Mpampitohy Kianteny Tambinteny Kianteny Tambinteny Kianteny Matoanteny Mpanoritra Anarana Mpampiankina Anarana Mpamaritra Kianteny Matoanteny Mpanoritra Anarana Tambinteny Tambinteny Mpanoritra Anarana Anarana Tambinteny Tambinteny Mpanoritra Anarana Mpampiankina Anarana Mpisolo Anarana Mpisolo Tambinteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana
"""Fa raha osaosa kosa ny ondry aman'osy, dia tsy mba napetrany teo ireny; ka dia ny osaosa no an'i Labana, fa ny matanjaka kosa no an'i Jakoba.""",Tambinteny Mpampitohy Anarana Mpampitohy Mpanoritra Anarana Mpampiankina Anarana Kianteny Tambinteny Tambinteny Matoanteny Tambinteny Mpisolo Kianteny Kianteny Mpanoritra Anarana Kianteny Tambinteny Mpanoritra Anarana Tambinteny Mpanoritra Matoanteny Mpampitohy Kianteny Tambinteny Mpanoritra Anarana
"""Dia nitombo harena indrindra ralehilahy ka nanana ondry aman'osy betsaka ary andevovavy sy andevolahy ary rameva sy boriky.""",Mpampitohy Matoanteny Mpamaritra Tambinteny Anarana Kianteny Matoanteny Anarana Mpampiankina Anarana Mpamaritra Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana Mpampitohy Anarana 
"""Ary Jakoba nandre ny tenin'ny zanakalahin'i Labana nanao hoe: Efa lasan'i Jakoba avokoa izay rehetra nananan'ny raintsika; ary avy tamin'ny fananan'ny raintsika no nahazoany izao voninahitra rehetra izao.""",Mpampitohy Anarana Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpanoritra Anarana Mpamaritra Tambinteny Tambinteny Matoanteny Mpanoritra Anarana Mpamaritra Mpisolo Mpamaritra Matoanteny Mpanoritra Anarana Mpampitohy Kianteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Kianteny Matoanteny Mpisolo Anarana Mpamaritra Mpisolo
"""Ary hitan'i Jakoba ny tarehin'i Labana, fa indro tsy mba miramirana taminy tahaka ny taloha izy.""",Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpanoritra Anarana Tambinteny Tambinteny Tambinteny Tambinteny Mpamaritra Mpampiankina Mpamaritra Mpanoritra Anarana Mpisolo
"""Ary hoy Jehovah tamin'i Jakoba: Modia any amin'ny tanin'ny razanao sy any amin'ny havanao; ary homba anao Aho.""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Tambinteny Mpampiankina Mpanoritra Anarana Mpampitohy Matoanteny Anarana Mpisolo
"""Ary Jakoba naniraka ka nampaka an-dRahely sy Lea hankany an-tsaha ho any amin'ny ondry aman'osiny ka nanao taminy hoe: Hitako ny tarehin'ny rainareo, fa tsy mba miramirana amiko tahaka ny taloha; fa Andriamanitry ny raiko no efa nomba ahy.""",Mpampitohy Anarana Matoanteny Kianteny Matoanteny Tambinteny Anarana Mpampitohy Anarana Matoanteny Tambinteny Anarana Kianteny Tambinteny Mpampiankina Mpanoritra Anarana Mpampiankina Anarana Kianteny Matoanteny Mpampiankina Tambinteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana Tambinteny Tambinteny Kianteny Mpampiankina Mpamaritra Anarana Tambinteny Anarana Mpanoritra Anarana Kianteny Tambinteny Matoanteny Mpisolo 
"""Ary fantatrareo fa tamin'ny heriko rehetra no nanompoako ny rainareo.""",Mpampitohy Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Mpamaritra Kianteny Matoanteny Mpanoritra Anarana
"""Fa ny rainareo efa namitaka ahy ka efa nanova ny karamako im-polo; nefa tsy navelan'Andriamanitra hahatonga loza tamiko izy.""",Tambinteny Mpanoritra Anarana Tambinteny Matoanteny Mpisolo Kianteny Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Mpamaritra Mpampitohy Tambinteny Matoanteny Anarana Matoanteny Anarana Mpampiankina Mpisolo
"""Raha nilaza hoe izy: Ny mara rehetra ho karamanao, dia niteraka mara ny ondry aman'osy rehetra: ary raha nilaza hoe indray izy: Ny sadika rehetra ho karamanao, dia niteraka sadika ny ondry aman'osy rehetra.""",Mpampitohy Matoanteny Tambinteny Mpisolo Mpanoritra Mpamaritra Mpamaritra Kianteny Anarana Kianteny Matoanteny Mpamaritra Mpanoritra Anarana Mpampiankina Mpamaritra Mpampitohy Mpampitohy Matoanteny Tambinteny Tambinteny Mpisolo Mpanoritra Mpamaritra Mpamaritra Kianteny Anarana Kianteny Matoanteny Mpamaritra Mpanoritra Anarana Mpampiankina Anarana Mpamaritra
"""Dia nalain'Andriamanitra ny fananan'ny rainareo ka nomeny ahy.""",Mpampitohy Matoanteny Anarana Mpanoritra Anarana Mpanoritra Anarana Kianteny Matoanteny Mpisolo
"""Ary rehefa mby amin'ny andro izay nikambanan'ny ondry aman'osy, dia natopiko ny masoko, ka hitako tamin'ny nofy, ary indro, sadika sy mara ary sada ny lahy izay nikambana tamin'ny ondrivavy sy ny osivavy.""",Mpampitohy Tambinteny Kianteny Mpampiankina Mpanoritra Anarana Mpisolo Matoanteny Mpanoritra Anarana Mpampiankina Anarana Kianteny Matoanteny Mpanoritra Anarana Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Mpampitohy Tenim-piotanana Mpamaritra Mpampitohy Mpamaritra Mpampitohy Mpamaritra Mpanoritra Anarana Mpisolo Matoanteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana
"""Ary hoy Ilay Anjelin'Andriamanitra tamiko tamin'ny nofy: Ry Jakoba; dia hoy izaho: Inty aho.""",Mpampitohy Mpamaritra Mpanoritra Anarana Anarana Mpampiankina Mpampiankina Anarana Kianteny Anarana Kianteny Mpamaritra Mpisolo Mpisolo Mpisolo
"""Ary hoy Izy: Mba atopazy ny masonao ka jereo, fa sadika sy mara ary sada ny lahy rehetra izay mikambana amin'ny ondrivavy sy ny osivavy, satria efa hitako izay rehetra nataon'i Labana taminao.""",Mpampitohy Mpamaritra Mpisolo Tambinteny Matoanteny Mpanoritra Anarana Kianteny Matoanteny Tambinteny Mpamaritra Mpampitohy Mpamaritra Mpampitohy Mpamaritra Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Tambinteny Matoanteny Mpisolo Mpamaritra Matoanteny Mpanoritra Anarana Mpampiankina
"""Izaho no Andriamanitr'i Betela, izay nanosoranao tsangam-bato sy nivoadianao tamiko; miaingà ankehitriny hiala amin'ity tany ity, ka modia any amin'ny tany nahaterahanao.""",Mpisolo Kianteny Anarana Mpanoritra Anarana Mpisolo Matoanteny Anarana Anarana Mpampitohy Matoanteny Mpampiankina Matoanteny Tambinteny Matoanteny Mpampiankina Mpisolo Anarana Mpisolo Kianteny Matoanteny Tambinteny Mpampiankina Mpanoritra Anarana Matoanteny
"""Dia namaly Rahely sy Lea ka nanao taminy hoe: Mbola misy anjara sy lova ho anay va ao an-tranon'ny rainay?""",Mpampitohy Matoanteny Anarana Mpampitohy Anarana Kianteny Matoanteny Mpampiankina Tambinteny Tambinteny Matoanteny Anarana Mpampitohy Anarana Kianteny Mpisolo Kianteny Tambinteny Anarana Mpanoritra Anarana
"""Tsy nataony toy ny vahiny va izahay?""",Tambinteny Matoanteny Mpampiankina Mpanoritra Anarana Kianteny Mpisolo
""" Fa efa namidiny izahay sady nohaniny lalandava ny volanay rehetra.""",Tambinteny Tambinteny Matoanteny Mpisolo Mpampitohy Matoanteny Anarana Mpanoritra Anarana Mpamaritra
"""Fa ny harena rehetra izay nalain'Andriamanitra tamin'ny rainay, dia anay sy an'ny zanakay izany; koa ankehitriny, izay rehetra nolazain'Andriamanitra taminao dia ataovy.""",Tambinteny Mpanoritra Anarana Mpamaritra Mpisolo Matoanteny Anarana Mpampiankina Mpanoritra Anarana Kianteny Mpisolo Mpampitohy Tambinteny Mpanoritra Anarana Mpisolo Kianteny Tambinteny Mpisolo Mpamaritra Matoanteny Anarana Mpampiankina Kianteny Matoanteny
"""Dia niainga Jakoba, ka nampitaingeniny ny rameva ny zanany sy ny vadiny; dia nitondra ny ombiny sy ny ondry aman'osiny rehetra izy, mbamin'ny fananana rehetra izay efa nohariny, dia ny omby aman'ondry izay efa azony tany Mesopotamia, mba hankany amin'Isaka rainy any amin'ny tany Kanana.""",Mpampitohy Matoanteny Anarana Kianteny Matoanteny Mpanoritra Anarana Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Kianteny Matoanteny Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampiankina Anarana Mpamaritra Mpisolo Mpampiankina Mpanoritra Anarana Mpamaritra Mpisolo Tambinteny Matoanteny Kianteny Mpanoritra Anarana Mpampiankina Anarana Mpisolo Tambinteny Matoanteny Tambinteny Anarana Tambinteny Matoanteny Mpampiankina Anarana Anarana Tambinteny Mpampiankina Anarana Tambinteny Matoanteny Mpampiankina Anarana Anarana Tambinteny Mpampiankina Mpanoritra Anarana Anarana
"""Ary Labana efa lasa nandeha hanety ny ondry aman'osiny; dia nangalarin-dRahely ny sampin-drainy.""",Mpampitohy Anarana Tambinteny Matoanteny Matoanteny Matoanteny Mpanoritra Anarana Mpampiankina Anarana Kianteny Matoanteny Anarana Mpanoritra Anarana Anarana
"""Ary Jakoba dia nangala-dia tamin'i Labana Syriana, fa tsy nambarany taminy ny amin'ny handosirany.""",Mpampitohy Anarana Kianteny Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Anarana Tambinteny Tambinteny Matoanteny Mpampiankina Mpanoritra Mpampiankina Mpanoritra Matoanteny
"""Ary nandositra izy ka nitondra ny fananany rehetra; dia niainga izy ka nita ny Ony, ary nizotra hankany an-tendrombohitra Gileada.""",Mpampitohy Matoanteny Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpisolo Kianteny Matoanteny Mpisolo Kianteny Matoanteny Mpanoritra Anarana Mpampitohy Matoanteny Matoanteny Tambinteny Anarana Anarana
"""Ary tamin'ny andro fahatelo dia nisy nanambara tamin'i Labana fa lasa nandositra Jakoba.""",Mpampitohy Mpampiankina Mpanoritra Anarana Mpamaritra Kianteny Matoanteny Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Matoanteny Matoanteny Anarana
"""Dia nitondra ny havany homba azy izy ka nanenjika azy lalan-kafitoana, dia nahatratra azy teo an-tendrombohitra Gileada.""",Mpampitohy Matoanteny Mpanoritra Anarana Matoanteny Mpisolo Mpisolo Kianteny Matoanteny Mpisolo Anarana Anarana Kianteny Matoanteny Mpisolo Tambinteny Tambinteny Anarana Anarana
"""Fa Andriamanitra nankeo amin'i Labana Syriana tamin'ny nofy nony alina ka nanao taminy hoe: Tandremo mba tsy hasianao teny akory Jakoba, na soa na ratsy.""",Tambinteny Anarana Matoanteny Mpampiankina Mpanoritra Anarana Anarana Mpampiankina Mpanoritra Anarana Mpampitohy Anarana Kianteny Matoanteny Mpampiankina Tambinteny Matoanteny Kianteny Tambinteny Matoanteny Anarana Kianteny Anarana Kianteny Mpamaritra Kianteny Mpamaritra
"""Ary Labana dia nahatratra an'i Jakoba.""",Mpampitohy Anarana Kianteny Matoanteny Tambinteny Mpanoritra Anarana
"""Ary Jakoba dia efa nanorina ny lainy teo an-tendrombohitra; ary Labana sy ny havany kosa nanorin-day teo an-tendrombohitr'i Gileada.""",Mpampitohy Anarana Kianteny Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Tambinteny Anarana Mpampitohy Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Matoanteny Anarana Tambinteny Tambinteny Anarana Mpanoritra Anarana
"""Ary hoy Labana tamin'i Jakoba: Inona izao ataonao izao, no dia nangala-dia tamiko ianao ka nitondra ny zanako-vavy toy ny babo azo tamin'ny sabatra?""",Mpampitohy Mpamaritra Anarana Mpampiankina Mpanoritra Anarana Mpisolo Mpisolo Matoanteny Mpisolo Kianteny Kianteny Matoanteny Matoanteny Mpampiankina Mpisolo Kianteny Matoanteny Mpanoritra Anarana Anarana Mpampiankina Mpanoritra Anarana Matoanteny Mpampiankina Mpanoritra Anarana 
"""Nahoana no nandositra mangingina ianao ka nangala-dia tamiko; ary tsy nanambara tamiko ianao mba hanaterako anao amin'ny fifaliana sy ny hira, amin'ny amponga-tapaka sy ny lokanga, sady tsy mba navelanao hanoroka ny zanako-lahy sy ny zanako-vavy aho?""",Tambinteny Kianteny Matoanteny Matoanteny Mpisolo Kianteny Matoanteny Matoanteny Mpampiankina Mpampitohy Tambinteny Matoanteny Mpampiankina Mpisolo Kianteny Matoanteny Mpisolo Mpampiankina Mpanoritra Anarana Mpampitohy Mpanoritra Anarana Mpampiankina Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Mpampitohy Tambinteny Tambinteny Matoanteny Matoanteny Mpanoritra Anarana Anarana Mpampitohy Mpanoritra Anarana Anarana Mpisolo
"""Fa izao dia efa nanao adaladala ianao.""",Tambinteny Mpisolo Kianteny Tambinteny Matoanteny Mpamaritra Mpisolo
"""Manankery hanisy ratsy anareo ny tanako; fa Andriamanitry ny rainareo efa niteny tamiko halina ka nanao hoe: Tandremo mba tsy hasianao teny akory Jakoba, na soa na ratsy.""",Matoanteny Matoanteny Mpamaritra Mpisolo Mpanoritra Anarana Tambinteny Anarana Mpanoritra Anarana Tambinteny Matoanteny Mpampiankina Anarana Kianteny Matoanteny Tambinteny Matoanteny Tambinteny Tambinteny Matoanteny Anarana Kianteny Anarana Kianteny Mpamaritra Kianteny Mpamaritra 
"""Ary ankehitriny, raha mandeha tokoa ianao, satria manina ny tranon'ny rainao indrindra ianao, nahoana no nangalarinao ny andriamanitro ?""",Mpampitohy Tambinteny Mpampitohy Matoanteny Tambinteny Mpisolo Mpampitohy Matoanteny Mpanoritra Anarana Mpanoritra Anarana Tambinteny Mpisolo Tambinteny Kianteny Matoanteny Mpanoritra Anarana 
"""Dia namaly Jakoba ka nanao tamin'i Labana hoe: Satria natahotra aho; fa hoy izaho: Angamba halainao an-keriny amiko ny zanakao-vavy.""",Mpampitohy Matoanteny Anarana Kianteny Matoanteny Mpampiankina Mpanoritra Anarana Tambinteny Mpampitohy Matoanteny Mpisolo Tambinteny Mpamaritra Mpisolo Tambinteny Matoanteny Tambinteny Anarana Mpisolo Mpanoritra Anarana Anarana
"""Izay hahitanao ny andriamanitrao dia aza velomina; eto anatrehan'ny havantsika savao izay ato amiko, ka ento ny anao.""",Mpisolo Matoanteny Mpanoritra Anarana Kianteny Kianteny Matoanteny Tambinteny Tambinteny Mpanoritra Anarana Matoanteny Mpisolo Tambinteny Mpampiankina Kianteny Matoanteny Mpanoritra Anarana
"""Fa tsy fantatr'i Jakoba fa Rahely no efa nangalatra azy.""",Tambinteny Tambinteny Matoanteny Mpanoritra Anarana Tambinteny Kianteny Tambinteny Matoanteny Mpisolo
